query_id,category,sem_p@5,sem_r@5,sem_mrr,sem_latency,key_p@5,key_r@5,key_mrr,key_latency
1,sr_to_sr,0.2,0.5,0.25,324.21112060546875,0.4,1.0,1.0,27.297496795654297
2,en_to_en,0.4,1.0,1.0,220.85809707641602,0.4,1.0,1.0,21.9728946685791
3,sr_to_sr,0.0,0.0,0.0,202.14462280273438,0.2,1.0,1.0,22.12691307067871
4,en_to_en,0.4,1.0,1.0,214.2508029937744,0.4,1.0,1.0,20.593881607055664
5,cross_lingual,0.2,0.3333333333333333,0.25,193.59469413757324,0.2,0.3333333333333333,0.5,20.111560821533203
6,en_to_en,0.2,1.0,1.0,210.92748641967773,0.2,1.0,1.0,20.22266387939453
7,cross_lingual,0.0,0.0,0.0,202.04973220825195,0.0,0.0,0.0,19.82736587524414
8,en_to_en,0.4,1.0,1.0,208.72807502746582,0.4,1.0,1.0,19.790172576904297
9,cross_lingual,0.0,0.0,0.0,195.09458541870117,0.4,1.0,1.0,20.89071273803711
10,cross_lingual,0.2,0.5,1.0,211.3192081451416,0.0,0.0,0.0,20.131587982177734
