query_id,category,latency_ms,precision@5,recall@5,mrr
1,sr_to_sr,568.2969093322754,0.2,0.5,0.25
2,en_to_en,198.4412670135498,0.4,1.0,1.0
3,sr_to_sr,214.5681381225586,0.0,0.0,0.0
4,en_to_en,216.5844440460205,0.4,1.0,1.0
5,cross_lingual,205.87778091430664,0.2,0.3333333333333333,0.25
6,en_to_en,215.07596969604492,0.2,1.0,1.0
7,cross_lingual,227.81085968017578,0.0,0.0,0.0
8,en_to_en,200.9875774383545,0.4,1.0,1.0
9,cross_lingual,204.14447784423828,0.0,0.0,0.0
10,cross_lingual,218.42384338378906,0.2,0.5,1.0
